id,character,keyword,pinyin,description
390,定,Settle on,dìng,约定 (yuē dìng) Agreement -- 镇定自若 (zhèn dìng zì ruò) Calm and composed -- 预定 (yù dìng) Reserve/Predetermine -- 规定 (guī dìng) Regulation
391,走,Walk,zǒu,走错 (zǒu cuò) Go the wrong way -- 走运 (zǒu yùn) Lucky
392,超,Transcend,chāo,超越 (chāo yuè) surpass
393,越,Surpass,yuè,超越 (chāo yuè) surpass
394,是,Be,shì,"有的是 (yǒu de shì) Plenty of -- 头头是道 (tóu tóu shì dào) (explain) logically and systematically; sound convincing -- 要不是 (yàobùshì) if it weren’t for, but for"
395,题,Topic,tí,
v1p159,p.廴,p.Stretch,,
396,延,Prolong,yán,拖延 (tuō yán) delay
397,诞,Nativity,dàn,
v1p160-1,p.聿,p.brush,,
398,建,Build,jiàn,"建议 (jiànyì) suggestion, to suggest"
v1p160-2,p.疋,p.Zoo,,
399,楚,Clear (adj.),chǔ,
400,衣,Clothing,yī,
401,裁,Tailor (v.),cái,总裁 (zǒng cái) President (CEO)
402,装,Attire / costume,zhuāng,"安装 (ān zhuāng) install, set up -- 装置 (zhuāng zhì) Device -- 装束 (zhuāng shù) Attire -- 假装 (jiǎ zhuāng) Pretend"
403,哀,Grief,āi,
404,袁,Yuan,yuán,
405,初,"Elementary, basic",chū,"当初 (dāngchū) at that time, originally"
406,补,Patch (v.),bǔ,"补充 (bǔ chōng) Supplement、Recharge -- 补偿 (bǔcháng) to compensate, make up for"
407,衬,Inner Garments,chèn,
408,农,Agriculture,nóng,
409,浓,Concentrated,nóng,
410,巾,Towel,jīn,
411,帅,Commander,shuài,
412,师,Teacher,shī,厨师 (chú shī) Chef
413,狮,Lion,shī,
414,布,Cloth,bù,尿布 (niàobù) diaper
415,帜,Streamer,zhì,
416,帽,Hat,mào,
417,幕,Curtain,mù,
v1p166,p.帛,p.White towel,,
418,棉,Cotton,mián,
419,市,Market,shì,
420,肺,Lungs,fèi,
v1p167,p.,p.Apron,,
421,带,Sash,dài,
422,滞,Stagnant,zhì,
V1p168-1,p.,p.Belt,,
V1p168-2,p.朿,p.Thorn,,
423,刺,Thorn,cì,"刺眼 (cì yǎn) dazzling, glaring -- 刺激 (cì jī) Stimulate"
424,制,System,zhì,"制造出 (zhìzào chū) Manufacture, create -- 制伏 (zhì fú) Subdue"
425,雨,Rain,yǔ,
426,雷,Thunder,léi,
427,霜,Frost,shuāng,
428,云,Cloud,yún,
429,运,Carry,yùn,走运 (zǒu yùn) Lucky -- 厄运 (è yùn) Misfortune
v1p170,p.,p.Ice,,
430,冰,Ice,bīng,
431,况,Situation,kuàng,
432,冲,Collide,chōng,
433,减,Reduce,jiǎn,
434,凉,Cool,liáng,
435,冬,Winter,dōng,冬眠 (dōng mián) Hibernate
436,天,Heavens,tiān,天堂 (tiān táng) Heaven -- 天分 (tiān fèn) Talent -- 天真 (tiān zhēn) Innocent/naive
437,吴,Wu (cake),wú,
438,娱,Amusement,yú,
439,误,Error,wù,"耽误 (dān wu) to delay; to hold up (often due to negligence) -- 误会 (wùhuì) misunderstanding, to misunderstand"
440,夭,Die young,yāo,
441,乔,Pretend,qiáo,
442,桥,Bridge,qiáo,
443,娇,Attractive,jiāo,娇生惯养 (jiāo shēng guàn yǎng) Pampered/Spoiled -- 撒娇 (sā jiāo) Act spoiled/pretend to be cute
444,立,Standing up,lì,"立场 (lì chǎng) standpoint, position -- 立即 (lì jí) immediately; at once"
445,泣,Weep,qì,
446,站,Station,zhàn,
447,章,Chapter,zhāng,
448,竞,Compete,jìng,
449,帝,Sovereign,dì,
450,童,Juvenile (n.),tóng,
451,商,Salesman,shāng,商量 (shāng liáng) Discuss
v1p175,p.啇,p.Antique,,
452,滴,Drip (v.),dī,
453,匕,Ancient Spoon,bǐ,
454,北,North,běi,
455,背,Back (n.),bèi,
456,比,Compare,bǐ,奇大无比 (qí dà wú bǐ) Extremely large -- 比武台 (bǐ wǔ tái) Martial Arts Stage/ tourney platform -- 比方 (bǐ fāng) Example -- 相比 (xiāngbǐ) compare with
457,昆,Descendants,kūn,
458,混,Mix (v.),hùn,
459,皆,All,jiē,
460,此,This (literary),cǐ,彼此彼此 (bǐ cǐ bǐ cǐ) Same to you
461,些,Somewhat (counter plural),xiē,
462,它,It,tā,
463,旨,Purpose,zhǐ,
464,脂,Grease,zhī,
v1p178,p.仑,p.Lifeguard,,
465,论,Theory,lùn,
466,轮,Wheel,lún,车轮大战 (chē lún dà zhàn) Marathon battle
v1p179,p.,p.Reclining,,
467,每,Every,měi,
468,梅,Small Plum,méi,
469,海,Sea,hǎi,海盗 (hǎidào) Pirate
470,乞,Beg,qǐ,
471,吃,Eat,chī,
472,复,"Duplicate (v.), return, repeat, compound, turn round",fù,恢复 (huī fù) Recover -- 复活 (fù huó) Resurrection -- 复仇 (fù chóu) Revenge -- 复杂 (fùzá) complicated -- 反复 (fǎnfù) repeatedly
473,腹,Abdomen,fù,
474,欠,Lack (v.),qiàn,
475,吹,Blow (v.),chuī,吹灰之力 (chuī huī zhī lì) Effortless -- 吹牛 (chuī niú) brag
476,歌,Song,gē,
477,软,Soft,ruǎn,软弱 (ruǎn ruò) Weak -- 心慈手软 (xīn cí shǒu ruǎn) Soft-hearted
478,次,Next,cì,异次元 (yì cì yuán) alternate dimension; different plane of existence
479,资,Assets,zī,工资 (gōng zī) Salary -- 资料 (zīliào) Data -- 资格 (zī gé) Qualification
480,姿,Looks,zī,
481,咨,Consult with,zī,
v1p183,p.咅,p.Muzzle,,
482,赔,Compensate,péi,
483,培,Cultivate,péi,
484,音,Sound,yīn,音量 (yīn liàng) Volume -- 发音 (fāyīn) pronunciation
485,暗,Dark,àn,灰暗 (huī àn) Gloomy
486,韵,Rhyme (n.),yùn,
487,竟,Unexpectedly,jìng,究竟 (jiū jìng) on earth
488,镜,Mirror,jìng,墨镜 (mò jìng) sunglasses
489,境,Boundary,jìng,环境 (huán jìng) Environment -- 救世主 (jiù shì zhǔ) savior; Messiah (宗教语境)
490,亡,Deceased,wáng,
491,盲,Blind,máng,盲肠 (mángcháng) Appendix
492,妄,Absurd,wàng,妄想 (wàng xiǎng) Delusion
493,望,Expect,wàng,绝望 (jué wàng) Despair -- 失望 (shīwàng) disappointed
494,方,Direction,fāng,"比方 (bǐ fāng) Example -- 想方设法 (xiǎng fāng shè fǎ) Try every means -- 方法 (fāngfǎ) method, way"
495,妨,Hinder,fáng,妨碍 (fáng'ài) Obstruct
496,放,Release,fàng,放马过来 (fàng mǎ guò lái) Bring it on -- 放鸽子 (fàng gēzi) to stand someone up
497,激,Excite,jī,激发 (jī fā) Inspire/Stimulate -- 激动 (jī dòng) Excited -- 刺激 (cì jī) Stimulate -- 激怒 (jī nù) Infuriate
498,旁,Side,páng,袖手旁观 (xiù shǒu páng guān) Sit by and watch
499,兑,Convert,duì,
500,脱,Undress,tuō,
501,说,Speak,shuō,换句话说 (huàn jù huà shuō) in other words -- 传说 (chuán shuō) legend/folklore -- 说服 (shuō fú) persuade
502,曾,Formerly,céng,
503,增,Increase (v.),zēng,
504,赠,Make a present of,zèng,
505,也,Also,yě,
506,她,She,tā,
507,地,Ground,dì,基地 (jīdì) Base -- 地震 (dì zhèn) earthquake -- 地下室 (dì xià shì) Basement -- 质地 (zhì dì) Texture
508,池,Pond,chí,
509,虫,Insect,chóng,
510,虾,Shrimp,xiā,
511,独,Alone,dú,孤独 (gū dú) Lonely
512,虽,Although,suī,
513,蛇,Serpent,shé,
514,蛋,Egg,dàn,
515,己,Self,jǐ,
516,起,Get up (from bed) or being together,qǐ,最起码 (zuì qǐ mǎ) at the very least -- 起码 (qǐ mǎ) Minimum
517,改,Alter,gǎi,不知悔改 (bù zhī huǐ gǎi) Unrepentant -- 改观 (gǎi guān) change in perception (positive shift)
518,记,Remember,jì,
519,已,Already,yǐ,
520,包,Wrap (v.),bāo,买包烟 (mǎi bāo yān) Buy a pack of cigarettes
521,泡,Bubbles,pào,
522,导,Guide (v.),dǎo,导弹 (dǎodàn) missile -- 引导 (yǐn dǎo) Guide
523,顾,Look Back,gù,
V1p198-1,p.豕,p.Sow,,
524,逐,Pursue,zhú,
525,家,House,jiā,家具 (jiā jù) Furniture -- 卖家 (mài jiā) Seller
V1p198-2,p.,p.Piglets,,
526,场,Site,chǎng,"立场 (lì chǎng) standpoint, position -- 登场 (dēng chǎng) to appear on stage; make an entrance"
527,汤,Soup,tāng,
528,羊,Sheep,yáng,
529,美,Beautiful,měi,完美 (wánměi) perfect -- 美容院 (měi róng yuàn) Beauty salon -- 优美 (yōuměi) graceful; elegant
530,洋,Ocean,yáng,
531,鲜,Fresh,xiān,
532,样,Appearance,yàng,"各式各样 (gè shì gè yàng) various, all kinds"
533,兰,Orchid,lán,
534,烂,Spoiled,làn,
v1p200,p.⺶,p.Wool,,
535,差,Fall short of,chà,"差错 (chā cuò) error, mistake -- 差劲 (chà jìn) Poor/badly -- 差远了 (chà yuǎn le) Far from it"
536,着,-ing,zhe,沿着 (yán zhe) Along -- 着陆 (zhuó lù) Land -- 顶着 (dǐng zhe) Endure/Hold up
537,养,Raise (v.) (like children or pets),yǎng,娇生惯养 (jiāo shēng guàn yǎng) Pampered/Spoiled
v1p201,p.隹,p.Turkey,,
538,集,Gather,jí,写真集 (xiě zhēn jí) photo album -- 采集 (cǎi jí) Collect
539,准,Standard (n.),zhǔn,不准 (bù zhǔn) Not allowed -- 没准 (méi zhǔn) Maybe/not sure -- 准许 (zhǔn xǔ) Permit
540,谁,Who?,shéi,
541,售,"Vend (formal for ""to sell"")",shòu,
542,午,Noon,wǔ,
543,许,Permit (v.),xǔ,准许 (zhǔn xǔ) Permit -- 许愿 (xǔ yuàn) make a wish
544,羽,Feathers,yǔ,
545,习,Learn,xí,
546,翔,Soar / over / circle in the air,xiáng,
v1p205,p.囗,p.Pent in,,
547,困,Trapped,kùn,
548,固,Solid,gù,顽固 (wán gù) Stubborn
549,国,Country,guó,
550,圆,Round,yuán,圆圈 (yuán quān) Circle
551,因,Cause (n.),yīn,
552,烟,Smoke (n.),yān,买包烟 (mǎi bāo yān) Buy a pack of cigarettes
553,园,Park (n.),yuán,
554,回,Return (v.),huí,无可挽回 (wú kě wǎn huí) Irretrievable
555,图,Picture (n.),tú,图像 (tú xiàng) image/picture
556,广,Extensive,guǎng,广阔 (guǎng kuò) Vast
557,店,Store (n.),diàn,酒店 (jiǔdiàn) hotel
558,库,Warehouse,kù,
559,裤,Trousers,kù,
560,床,Bed,chuáng,
561,麻,Hemp,má,添麻烦 (tiān máfan) Add Trouble
562,庄,"Hamlet, manor",zhuāng,
563,心,Heart,xīn,甘心 (gān xīn) Willingly -- 心领 (xīn lǐng) appreciate sb.'s kindness -- 责任心 (zé rèn xīn) Sense of responsibility -- 野心勃勃 (yě xīn bó bó) Ambitious -- 信心 (xìn xīn) Confidence -- 贪心 (tān xīn) Greedy -- 心慈手软 (xīn cí shǒu ruǎn) Soft-hearted -- 掉以轻心 (diào yǐ qīng xīn) underestimate carelessly -- 手心 (shǒu xīn) palm of the hand -- 关心 (guānxīn) care about
564,忘,Forget,wàng,
565,忍,Endure,rěn,
566,总,General (adj.),zǒng,总裁 (zǒng cái) President (CEO)
567,态,Attitude,tài,变态 (biàntài) pervert
568,志,Aspiration,zhì,
569,思,Consider,sī,思维 (sīwéi) Thinking
570,恩,Kindness,ēn,
571,愿,Wish (n.),yuàn,宁愿 (nìng yuàn) Would rather -- 许愿 (xǔ yuàn) make a wish
572,意,Idea,yì,"有意 (yǒu yì) intentional, deliberate -- 意味 (yìwèi) Mean -- 主意 (zhǔ yì) Idea -- 意想不到 (yì xiǎng bù dào) Unexpected -- 出人意料 (chū rén yì liào) Unexpected -- 无意中 (wú yì zhōng) Unintentionally -- 刻意 (kè yì) Deliberately"
573,想,Think,xiǎng,"意想不到 (yì xiǎng bù dào) Unexpected -- 不堪设想 (bù kān shè xiǎng) Unimaginable -- 妄想 (wàng xiǎng) Delusion -- 休想 (xiūxiǎng) Don't even think about it -- 猜想 (cāi xiǎng) Speculate -- 想方设法 (xiǎng fāng shè fǎ) Try every means -- 理想 (lǐxiǎng) ideal, dream"
574,息,Breath,xī,喘息 (chuǎn xī) Breathe/breathing spell -- 奄奄一息 (yǎnyǎn yī xī) On the verge of death
575,恐,Fear (v.),kǒng,恐怖 (kǒngbù) Terror/scary/horrible -- 恐慌 (kǒng huāng) Panic
576,感,Feel,gǎn,幽默感 (yōu mò gǎn) Sense of humor -- 对……感兴趣 (duì... gǎn xìngqù) to be interested in...
577,憾,Regret (n.),hàn,遗憾 (yí hàn) Regret
578,忧,Worried,yōu,
579,惊,Startled,jīng,惊喜 (jīngxǐ) pleasant surprise
580,怕,Dread (v.),pà,惧怕 (jù pà) Fear
581,忙,Busy,máng,急急忙忙 (jíjímángmáng) In a hurry -- 忙碌 (máng lù) busy
582,惯,Accustomed to,guàn,娇生惯养 (jiāo shēng guàn yǎng) Pampered/Spoiled
583,必,Certainly,bì,"必要 (bì yào) Necessary -- 未必 (wèibì) Not necessarily -- 务必 (wùbì) must, be sure to"
584,手,Hand,shǒu,还手 (huánshǒu) Fight back -- 插手 (chā shǒu) Intervene -- 指手划脚 (zhǐ shǒu huà jiǎo) Gesticulate/to criticize -- 心慈手软 (xīn cí shǒu ruǎn) Soft-hearted -- 袖手旁观 (xiù shǒu páng guān) Sit by and watch -- 手心 (shǒu xīn) palm of the hand
585,看,Look at,kàn,"照看 (zhào kàn) Take care of -- 细看 (xì kàn) Examine carefully -- 给点颜色看看 (gěi diǎn yán sè kàn) ""teach someone a lesson""; show one's power -- 看扁 (kàn biǎn) look down upon"
586,摩,Rub,mó,
587,拿,Hold (v.),ná,
588,我,I,wǒ,
v1p212,p.,p.Fingers,,
589,抱,Embrace (v.),bào,
590,抗,Combat (v),kàng,反抗 (fǎn kàng) Resist -- 抵抗 (dǐ kàng) resist/oppose
591,批,Criticize,pī,
592,招,Beckon,zhāo,"招架 (zhāo jià) to ward off, to hold off -- 招数 (zhāo shù) Trick，movement in Wushu -- 绝招 (jué zhāo) Special skill"
593,打,Strike (v.),dǎ,打喷嚏 (dǎ pēntì) Sneeze -- 打搅 (dǎjiǎo) Disturb -- 打扰 (dǎ rǎo) Disturb
594,指,Finger,zhǐ,指教 (zhǐjiào) Advise -- 指手划脚 (zhǐ shǒu huà jiǎo) Gesticulate/to criticize
595,持,"Support, maintain",chí,"坚持 (jiānchí) Persist -- 维持 (wéi chí) Maintain -- 持续 (chíxù) to continue, to last"
596,担,Assume,dàn,
597,括,Include,kuò,
598,提,Bring up,tí,前提 (qián tí) precondition -- 提防 (dī fang) be cautious of; beware of
599,挥,"Brandish, wave",huī,
600,推,Push,tuī,推测 (tuī cè) Speculate
601,搅,Stir,jiǎo,打搅 (dǎjiǎo) Disturb
602,执,Clench,zhí,
603,热,Heat (n./v.),rè,
604,接,Welcome (v.),jiē,"直接 (zhí jiē) Direct -- 接下来 (jiē xiàlái) next, following"
605,挂,Hang,guà,
606,按,Press down on,àn,按钮 (ànniǔ) Button -- 按照 (àn zhào) According to
607,掉,Drop (v.),diào,掉以轻心 (diào yǐ qīng xīn) underestimate carelessly
608,拉,Pull,lā,
609,啦,!!,la,
610,找,Look for,zhǎo,
611,无,Nothing,wú,"无疑 (wúyí) no doubt -- 无关紧要 (wú guān jǐn yào) irrelevant, insignificant -- 奇大无比 (qí dà wú bǐ) Extremely large -- 无能为力 (wú néng wéi lì) Powerless -- 有勇无谋 (yǒu yǒng wú móu) Brave but not smart -- 无耻 (wú chǐ) Shameless -- 所剩无几 (suǒ shèng wú jǐ) Very little left -- 安然无恙 (ān rán wú yàng) Safe and sound -- 无稽之谈 (wújī zhī tán) Nonsense -- 无意中 (wú yì zhōng) Unintentionally -- 滥杀无辜 (làn shā wú gū) Kill innocent people indiscriminately -- 无可挽回 (wú kě wǎn huí) Irretrievable -- 索然无味 (suǒ rán wú wèi) Tasteless -- 毫无 (háo wú) Not at all -- 无趣 (wúqù) boring, dull"
612,抚,Comfort (v.),fǔ,
613,开,Open (v.),kāi,"开朗 (kāi lǎng) cheerful, optimistic"
614,研,Grind away,yán,研究 (yán jiū) Research
615,弄,Play with,nòng,
616,异,Different,yì,异常 (yì cháng) Unusual -- 异次元 (yì cì yuán) alternate dimension; different plane of existence
617,鼻,Nose,bí,
618,刑,Punishment,xíng,
619,型,Mold (v.),xíng,
620,才,Genius,cái,才能 (cáinéng) talent -- 才华 (cáihuá) talent
621,财,Riches,cái,
622,团,Troupe,tuán,团队 (tuán duì) Team
623,存,Deposit (v.),cún,幸存 (xìng cún) Survive
624,在,At,zài,潜在 (qián zài) Potential
625,乃,Only then,nǎi,
626,奶,Milk,nǎi,
627,及,Catch up with,jí,来不及 (lái bù jí) Too late/no time -- 触及 (chù jí) Touch
628,吸,Inhale,xī,吸引 (xī yǐn) Attract
629,极,Extreme (n.),jí,消极 (xiāojí) passive; negative -- 积极 (jījí) active; positive
v1p217,p.,p.Tucked under the arm / NASA rocket launch,,
630,史,History,shǐ,
631,更,Even more,gèng,
632,硬,Hard,yìng,
633,又,Again,yòu,
634,圣,Holy,shèng,
635,友,Friend,yǒu,友好 (yǒuhǎo) friendly
636,双,Pair,shuāng,
637,汉,Han,hàn,
638,戏,Frolic,xì,
639,观,Observe,guān,乐观 (lè guān) Optimistic -- 悲观 (bēi guān) Pessimistic -- 袖手旁观 (xiù shǒu páng guān) Sit by and watch -- 改观 (gǎi guān) change in perception (positive shift)
640,欢,Joyous (collective happiness),huān,
641,怪,Peculiar,guài,怪不得 (guài bù dé) No wonder -- 古怪 (gǔ guài) eccentric -- 责怪 (zéguài) to blame
642,对,That's right,duì,"应对 (yìngduì) to cope, to deal with -- 对话 (duì huà) Dialogue/conversation -- 不对劲 (bú duì jìn) something's wrong; strange; off -- 对……感兴趣 (duì... gǎn xìngqù) to be interested in... -- 敌对 (díduì) hostile -- 绝对 (juéduì) absolutely, definitely"
643,树,Timber,shù,
644,难,Difficult,nán,"胜负难料 (shèng fù nán liào) outcome hard to predict -- 难缠 (nán chán) Difficult to deal with/Annoying -- 千载难逢 (qiān zǎi nán féng) Once in a lifetime -- 艰难 (jiānnán) difficult, hard"
645,摊,Vendor’s stand,tān,
v1p220,p.殳,p.Missile,,
646,投,Throw (v.),tóu,投掷 (tóuzhì) Throw -- 投降 (tóu xiáng) Surrender -- 投诉 (tóusù) to complain
647,没,Not have,méi,没准 (méi zhǔn) Maybe/not sure
648,设,Establish,shè,不堪设想 (bù kān shè xiǎng) Unimaginable -- 设计 (shè jì) Design -- 想方设法 (xiǎng fāng shè fǎ) Try every means
649,股,Thigh (Oberschenkel),gǔ,
650,支,"Offshoot (branch, like branch store)",zhī,
651,技,Skill,jì,技不如人 (jì bù rú rén) Inferior skills
652,枝,Tree Branch,zhī,
653,叔,Uncle,shū,
654,督,Superintend (active guidance),dū,
655,寂,Lonely,jì,"寂寞 (jìmò) lonely, loneliness"
v1p221,p.,p.Drag,,
656,反,Against,fǎn,反应 (fǎn yìng) Reaction/Feedback -- 反抗 (fǎn kàng) Resist -- 反省 (fǎn xǐng) Reflect -- 反复 (fǎnfù) repeatedly
657,板,Plank,bǎn,
658,返,Go back (reversal or opposition in direction),fǎn,
659,后,Behind,hòu,后果 (hòu guǒ) Consequence
660,质,Quality,zhì,有机物质 (yǒu jī wù zhì) Organic matter -- 质地 (zhì dì) Texture
661,派,Faction,pài,派 (pài) dispatch; send someone (to do something)
662,乐,Music,yuè,俱乐部 (jù lè bù) Club -- 乐观 (lè guān) Optimistic
663,爪,Claw (n.),zhǎo,爪子 (zhuǎ zi) claw; talon
664,抓,Grab,zhuā,
665,采,Pick (v.),cǎi,采集 (cǎi jí) Collect
666,菜,Vegetable,cài,
V1p223-1,p.,p.Birdhouse,,
667,受,Accept (passively),shòu,受益匪浅 (shòu yì fěi qiǎn) Benefited greatly
668,授,Confer (give),shòu,传授 (chuán shòu) Impart
669,爱,Love (n./v.),ài,
V1p223-2,p.厶,p.Elbow,,
670,么,"me (suffix in ""shen me"")",me,
671,雄,Grand,xióng,英雄 (yīng xióng) hero
672,台,Platform,tái,比武台 (bǐ wǔ tái) Martial Arts Stage/ tourney platform -- 擂台 (léi tái) Arena
673,治,Govern,zhì,统治 (tǒng zhì) Rule
674,始,Commence (an action),shǐ,
675,去,Go,qù,"省去 (shěng qù) omit, save"
676,法,Method,fǎ,"想方设法 (xiǎng fāng shè fǎ) Try every means -- 方法 (fāngfǎ) method, way"
v1p224,p.,p.Wall,,
677,会,Meeting,huì,"聚会 (jù huì) Gathering -- 会合 (huì hé) Meet/Gather -- 约会 (yuē huì) Date, appointment -- 误会 (wùhuì) misunderstanding, to misunderstand"
678,至,Until,zhì,截至 (jié zhì) Up to -- 甚至 (shèn zhì) Even -- 至少 (zhìshǎo) at least
679,室,Room,shì,地下室 (dì xià shì) Basement
680,到,Arrive,dào,"意想不到 (yì xiǎng bù dào) Unexpected -- 沾到 (zhān dào) get stained; come into contact with -- 撞到 (zhuàngdào) to bump into, to hit"
681,互,Mutual,hù,
v1p225,p.,p.Infant,,
682,充,Sufficient,chōng,补充 (bǔ chōng) Supplement、Recharge
683,育,Education,yù,发育 (fā yù) Develop
V1p226-1,p.㐬,p.Baby Moses,,
684,流,Flow (v.),liú,同流合污 (tóng liú hé wū) to collude with evil -- 一流 (yī liú) First-class -- 交流 (jiāo liú) Communicate -- 流行 (liú xíng) Popular -- 流利 (liúlì) fluent
685,梳,Comb (n.),shū,
V1p226-2,p.勾,p.Cast,,
686,购,Purchase (v.),gòu,
687,构,Frame (v.),gòu,
688,山,Mountain,shān,
689,出,Exit (v.),chū,"制造出 (zhìzào chū) Manufacture, create -- 出风头 (chū fēngtóu) Show Off -- 出界 (chū jiè) Out of bounds -- 出人意料 (chū rén yì liào) Unexpected -- 漏洞百出 (lòudòng bǎichū) Full of loopholes -- 孵出来 (fū chū lái) Hatch -- 口出狂言 (kǒu chū kuáng yán) Boastful words"
690,础,Foundation,chǔ,
691,岁,Years of age,suì,
692,密,Secret (adj.),mì,精密 (jīngmì) Precision -- 密码 (mìmǎ) password
693,入,Enter,rù,
694,分,Part (n./v.),fēn,十分精彩 (shí fēn jīng cǎi) Very exciting -- 分散 (fēn sàn) Dispersed -- 天分 (tiān fèn) Talent
695,贫,Impoverished,pín,
696,公,Public,gōng,公认 (gōng rèn) Generally recognized
697,松,Pine Tree,sōng,
698,谷,Valley,gǔ,
699,浴,Bathe,yù,
700,欲,Desire (n./v.),yù,
701,容,Contain,róng,内容 (nèi róng) content -- 美容院 (měi róng yuàn) Beauty salon
702,溶,Dissolve,róng,
v1p230,p.,p.Outhouse,,
703,赏,Prize (n.),shǎng,"欣赏 (xīnshǎng) Appreciate, enjoy"
704,党,Political Party,dǎng,
705,常,Often,cháng,异常 (yì cháng) Unusual
706,堂,Main Room,táng,天堂 (tiān táng) Heaven
707,皮,Covering,pí,
708,波,Waves,bō,
709,婆,Old woman,pó,婆婆妈妈 (pó po mā mā) overly fussy; long-winded (describing someone nitpicky or indecisive)
710,破,Break (v.),pò,破 (pò) Broken/damaged -- 破绽 (pò zhàn) Flaw -- 识破 (shí pò) See through
711,被,Quilt (n.),bèi,
712,歹,"Malicious, vicious",dǎi,
713,列,Line up,liè,列表 (lièbiǎo) list
714,烈,Intense,liè,"强烈 (qiáng liè) intense, strong"
715,死,Death,sǐ,猝死 (cù sǐ) Sudden death -- 死不瞑目 (sǐ bù míng mù) Die with regret -- 不知死活 (bù zhī sǐ huó) Reckless
716,葬,"Inter (v.) (like to bury, but for humans)",zàng,
717,耳,Ear,ěr,耳环 (ěr huán) Earring
718,取,Take,qǔ,"取消 (qǔ xiāo) Cancel -- 取胜 (qǔ shèng) Win -- 取得 (qǔdé) to achieve, to gain"
719,趣,Interest,qù,"对……感兴趣 (duì... gǎn xìngqù) to be interested in... -- 无趣 (wúqù) boring, dull"
720,最,Most,zuì,最起码 (zuì qǐ mǎ) at the very least
721,职,Job,zhí,
722,敢,Brave,gǎn,不敢置信 (bù gǎn zhì xìn) Unbelievable
723,曼,Drawn out (tediously protracted both for space and time),màn,
724,慢,Slow,màn,
725,漫,Overflow (v.),màn,
726,夫,Husband,fū,功夫 (gōng fu) Effort
727,规,Regulations,guī,规则 (guī zé) Rule -- 规定 (guī dìng) Regulation
728,替,Replace,tì,替代 (tì dài) Replace
729,失,Lose,shī,丧失 (sàng shī) Lose -- 失败 (shībài) to fail / failure -- 失望 (shīwàng) disappointed
730,铁,Iron,tiě,
731,臣,Feudal Official,chén,
732,力,Power,lì,筋疲力尽 (jīn pí lì jìn) Exhausted -- 无能为力 (wú néng wéi lì) Powerless -- 重力 (zhònglì) Gravity -- 吹灰之力 (chuī huī zhī lì) Effortless -- 防御力 (fáng yù lì) Defense -- 威力 (wēi lì) power/might
733,边,Border,biān,
734,势,Force (n.),shì,形势 (xíngshì) Situation -- 占优势 (zhàn yōu shì) Dominate
735,动,Move,dòng,移动 (yí dòng) Move -- 激动 (jī dòng) Excited -- 启动键 (qǐdòngjiàn) Start button -- 动弹 (dòng tán) Move -- 动画 (dòng huà) animation -- 一举一动 (yī jǔ yī dòng) Every move -- 动听 (dòng tīng) melodious; pleasant-sounding
736,励,Encourage,lì,
737,历,Experience (n./v.),lì,"经历 (jīnglì) experience, to go through"
738,另,Another,lìng,
739,别,Don’t,bié,特别 (tè bié) Special
740,拐,Turn (v.),guǎi,
741,男,Male,nán,
742,功,Achievement (contribution of a soldier),gōng,功夫 (gōng fu) Effort
743,办,Manage,bàn,
744,协,Cooperate,xié,"协助 (xié zhù) assist -- 协调 (xiétiáo) to coordinate, harmonious"
745,苏,Revive,sū,苏醒 (sū xǐng) regain consciousness
746,为,Act (v.),wèi,行为 (xíngwéi) Behavior -- 无能为力 (wú néng wéi lì) Powerless -- 合二为一 (hé èr wéi yī) Merge into one
747,奴,Slave,nú,
748,努,Toil (v.),nǔ,
749,加,Add,jiā,稍加 (shāo jiā) Slightly
750,贺,Congratulate,hè,
751,架,Shelf,jià,"招架 (zhāo jià) to ward off, to hold off"
752,务,Tasks,wù,"任务 (rèn wù) Task -- 务必 (wùbì) must, be sure to"
753,雾,Fog,wù,
754,行,Line of business,háng,行为 (xíngwéi) Behavior -- 流行 (liú xíng) Popular -- 举行 (jǔ xíng) Hold (an event) -- 外行 (wài háng) layperson; amateur
755,律,Law,lǜ,
756,得,Must,děi,"得逞 (dé chěng) Succeed (in a negative sense) -- 怪不得 (guài bù dé) No wonder -- 值得 (zhí dé) be worth; deserve -- 取得 (qǔdé) to achieve, to gain"
757,待,Treat (v.),dài,待 (dài) Wait/stay -- 期待 (qī dài) Expect/look forward
758,往,Toward,wǎng,
759,微,Tiny,wēi,
760,街,Street,jiē,
v1p238,p.,p.10 commandments,,
761,德,Morality,dé,
762,禾,Standing grain,hé,
763,程,Journey (n.),chéng,程度 (chéng dù) Degree -- 过程 (guòchéng) process
764,和,Harmony,hé,
765,积,Accumulate,jī,积累 (jī lěi) Accumulate -- 积极 (jījí) active; positive
766,种,Species,zhǒng,种族 (zhǒng zú) Race
767,移,Shift (v.),yí,移动 (yí dòng) Move
768,秋,Autumn,qiū,
769,愁,"Gloomy (sad, soorow)",chóu,
770,揪,Hold tight,jiū,
771,利,Profit (n.),lì,利用 (lìyòng) Utilize -- 锋利 (fēng lì) Sharp -- 权利 (quán lì) Right -- 顺利 (shùn lì) smoothly; successfully -- 流利 (liúlì) fluent
772,香,Perfume,xiāng,
773,季,Seasons,jì,
774,委,Committee,wěi,
775,秀,Elegant,xiù,
776,透,Penetrate,tòu,湿透 (shītòu) drenched -- 剧透 (jùtòu) Spoiler -- 穿透 (chuāntòu) Penetrate
777,诱,"Entice (persuade, induce)",yòu,
